epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.0520671084523201,4.0033305026554444e-07,85368.0,264651424.0,2.0026338631851104e-07,129791248.0,53.0,0.08051667362451553,0.5155553221702576,0.01759633980691433,2344.0,64.0,0.0,261667.0,0.0,0.05297378450632095,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05904396250844002,0.5607719421386719,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
1,0.05202828720211983,0.0,85421.0,17160432.0,0.0,377282144.0,0.0,0.05883383750915527,0.5615512728691101,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05853318050503731,0.5329803824424744,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
2,0.05210909619927406,0.0,85421.0,0.0,0.0,394442592.0,0.0,0.0595688596367836,0.5456924438476562,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297379568219185,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05831009894609451,0.5,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
3,0.052110664546489716,0.0,85421.0,0.0,0.0,394442592.0,0.0,0.058692511171102524,0.5574150681495667,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.058676108717918396,0.6250148415565491,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
4,0.052483003586530685,0.0,85421.0,0.0,0.0,394442592.0,0.0,0.05867966637015343,0.5291509032249451,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.058012183755636215,0.5736657381057739,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
5,0.05248655751347542,0.0,85421.0,0.0,0.0,394442624.0,0.0,0.058481667190790176,0.5788906216621399,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05881251394748688,0.6425349712371826,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
6,0.05248866602778435,0.0,85421.0,0.0,0.0,394442624.0,0.0,0.05830783769488335,0.5788415670394897,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05760076642036438,0.665559709072113,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
7,0.05248856544494629,0.0,85421.0,0.0,0.0,394442688.0,0.0,0.058500781655311584,0.5792195200920105,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05793125554919243,0.6567137241363525,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
8,0.05248863622546196,0.0,85421.0,0.0,0.0,394442688.0,0.0,0.05812207981944084,0.638094425201416,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05722877010703087,0.7107675075531006,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
9,0.052488621324300766,0.0,85421.0,0.0,0.0,394442624.0,0.0,0.057291384786367416,0.6540597677230835,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.07326975464820862,0.5,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
10,0.05248868837952614,0.0,85421.0,0.0,0.0,394442592.0,0.0,0.05883457139134407,0.5890923738479614,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05707438290119171,0.7184213399887085,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
11,0.0524887889623642,0.0,85421.0,0.0,0.0,394442624.0,0.0,0.05773550644516945,0.6353625655174255,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.058215223252773285,0.6876416802406311,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
12,0.05248867720365524,0.0,85421.0,0.0,0.0,394442528.0,0.0,0.057119522243738174,0.6754418015480042,0.01759633980691433,2344.0,0.0,0.0,261731.0,0.0,0.05297377333045006,0.0,29499.0,0.0,0.0,131479856.0,0.0,0.05966203287243843,0.6638785600662231,0.017611222341656685,782.0,0.0,0.0,87243.0,0.0
