epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.052387453615665436,1.0133746854990022e-06,86814.0,120285752.0,5.071254349786614e-07,274155424.0,61.0,0.07959439605474472,0.5510531067848206,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.05230066552758217,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05992625281214714,0.6843411922454834,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
1,0.05229872837662697,0.0,86875.0,0.0,0.0,394441120.0,0.0,0.05881836637854576,0.532538890838623,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052365995943546295,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05964982882142067,0.5,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
2,0.052278071641922,0.0,86875.0,0.0,0.0,394441216.0,0.0,0.05876394733786583,0.5078650712966919,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052365999668836594,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05915263295173645,0.5,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
3,0.052229445427656174,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05879203602671623,0.46044495701789856,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.05236602574586868,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05945634841918945,0.6923927664756775,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
4,0.05256752297282219,0.0,86875.0,0.0,0.0,394441120.0,0.0,0.05853499099612236,0.506717324256897,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.059107132256031036,0.5294404029846191,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
5,0.05241727828979492,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05851899832487106,0.5291813015937805,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.05236602574586868,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.058958083391189575,0.7067253589630127,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
6,0.052684031426906586,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05812470614910126,0.5532058477401733,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366022020578384,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05936402827501297,0.5362740159034729,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
7,0.05268729478120804,0.0,86875.0,0.0,0.0,394441120.0,0.0,0.057929929345846176,0.6267949938774109,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05890835076570511,0.6150939464569092,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
8,0.05269145965576172,0.0,86875.0,0.0,0.0,394441216.0,0.0,0.05823042243719101,0.5431286692619324,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.058709822595119476,0.6913526654243469,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
9,0.052689842879772186,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05776001885533333,0.5710111260414124,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.06030683591961861,0.7086741924285889,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
10,0.05263294652104378,0.0,86875.0,0.0,0.0,394441120.0,0.0,0.05851788818836212,0.5796903371810913,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05845456197857857,0.6043704152107239,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
11,0.05269153043627739,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05797120928764343,0.5586568117141724,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.0583958700299263,0.6515406370162964,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
12,0.05269147828221321,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05729416012763977,0.6249508857727051,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.06242087110877037,0.5903692245483398,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
13,0.05269145965576172,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05770038813352585,0.6037514805793762,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.057867422699928284,0.7241197824478149,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
14,0.05269141495227814,0.0,86875.0,0.0,0.0,394441216.0,0.0,0.05711982026696205,0.6570247411727905,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.06412367522716522,0.5766101479530334,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
15,0.05269155278801918,0.0,86875.0,0.0,0.0,394441184.0,0.0,0.057192787528038025,0.6511602401733398,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05955592170357704,0.6201164722442627,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
16,0.05269145220518112,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.05957472696900368,0.5743041038513184,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.058610331267118454,0.6337028741836548,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
17,0.05269147828221321,0.0,86875.0,0.0,0.0,394441152.0,0.0,0.0579201839864254,0.6166813373565674,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05826924741268158,0.7032006978988647,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
18,0.05269141122698784,0.0,86875.0,0.0,0.0,394441248.0,0.0,0.05843859165906906,0.548729658126831,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05957503989338875,0.7226383090019226,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
19,0.05269138514995575,0.0,86875.0,0.0,0.0,394441216.0,0.0,0.0575905442237854,0.6006978154182434,0.017395414412021637,2317.0,0.0,0.0,261758.0,0.0,0.052366044372320175,0.0,28045.0,0.0,0.0,131481304.0,0.0,0.05816827714443207,0.686270534992218,0.018213745206594467,809.0,0.0,0.0,87216.0,0.0
